timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539227875058,609,1 - Get all the users details,200,OK,Thread Group 1-3,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,608,0,203
1539227875671,598,2 - Add a new user with job leader,201,Created,Thread Group 1-3,text,true,,623,212,1,1,https://reqres.in/api/users,598,0,167
1539227876276,581,3 - Get the second  user details,200,OK,Thread Group 1-3,text,true,,672,175,1,1,https://reqres.in/api/users/2,580,0,176
1539227883886,598,4 - Update the second user details with new job,200,OK,Thread Group 1-4,text,true,,614,219,1,1,https://reqres.in/api/users/2,598,0,183
1539227884489,405,1 - Get all the users details,200,OK,Thread Group 1-4,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,405,0,172
1539227884897,585,2 - Add a new user with job leader,201,Created,Thread Group 1-4,text,true,,622,212,1,1,https://reqres.in/api/users,585,0,171
1539227885485,604,3 - Get the second  user details,200,OK,Thread Group 1-4,text,true,,672,175,1,1,https://reqres.in/api/users/2,604,0,179
1539227886092,588,4 - Update the second user details with new job,200,OK,Thread Group 1-4,text,true,,614,219,1,1,https://reqres.in/api/users/2,587,0,172
1539227893877,596,1 - Get all the users details,200,OK,Thread Group 1-5,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,596,0,310
1539227894476,726,2 - Add a new user with job leader,201,Created,Thread Group 1-5,text,true,,623,212,1,1,https://reqres.in/api/users,726,0,295
1539227895206,445,3 - Get the second  user details,200,OK,Thread Group 1-5,text,true,,672,175,1,1,https://reqres.in/api/users/2,445,0,193
1539227895655,610,4 - Update the second user details with new job,200,OK,Thread Group 1-5,text,true,,614,219,1,1,https://reqres.in/api/users/2,610,0,183
1539227896272,408,1 - Get all the users details,200,OK,Thread Group 1-5,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,408,0,168
